"Title","Subtitle","CELEX number","EUROVOC descriptor","Subject matter","Directory code","Date of document",
"Directive (EU) 2023/1791 of the European Parliament and of the Council of 13 September 2023 on energy efficiency and amending Regulation (EU) 2023/955 (recast) (Text with EEA relevance)","PE/15/2023/INIT","32023L1791","EU energy policy, energy saving, adaptation to climate change, energy use, energy supply, security of supply, reduction of gas emissions, energy consumption, energy efficiency","Environment, Energy","Energy, General principles and programmes, Rational utilisation and conservation of energy","2023-09-13",
"Regulation (EU) 2022/869 of the European Parliament and of the Council of 30 May 2022 on guidelines for trans-European energy infrastructure, amending Regulations (EC) No 715/2009, (EU) 2019/942 and (EU) 2019/943 and Directives 2009/73/EC and (EU) 2019/944, and repealing Regulation (EU) No 347/2013","PE/2/2022/REV/1","32022R0869","energy cooperation, trans-European network, carbon neutrality, project of common interest, security of supply, energy grid, EU energy policy, electrical energy, gas supply, electricity supply","Trans-European networks, Energy","Industrial policy and internal market, Energy, Trans-European networks, General principles and programmes","2022-05-30",
"Regulation (EU) 2020/740 of the European Parliament and of the Council of 25 May 2020 on the labelling of tyres with respect to fuel efficiency and other parameters, amending Regulation (EU) 2017/1369 and repealing Regulation (EC) No 1222/2009 (Text with EEA relevance)","PE/3/2020/INIT","32020R0740","pneumatic tyre, European standard, energy consumption, energy efficiency, energy saving, environmental protection, motor fuel, consumer information, labelling","Technical barriers, Consumer protection, Protocol on Ireland/Northern Ireland, Energy, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Environment, consumers and health protection, Energy, Consumers, General principles and programmes, Consumer information, education and representation, Rational utilisation and conservation of energy","2020-05-25",
"Directive (EU) 2019/944 of the European Parliament and of the Council of 5 June 2019 on common rules for the internal market for electricity and amending Directive 2012/27/EU (recast) (Text with EEA relevance.)","PE/10/2019/REV/1","32019L0944","security of supply, consumer, energy efficiency, renewable energy, price of energy, EU Member State, single market, electricity supply, electrical energy","Protocol on Ireland/Northern Ireland, Energy, Annex 4 Provisions of Union law referred to in Article 9","Energy, Electricity","2019-06-05",
"Regulation (EU) 2019/943 of the European Parliament and of the Council of 5 June 2019 on the internal market for electricity (recast) (Text with EEA relevance.)","PE/9/2019/REV/1","32019R0943","single market, European Union Agency for the Cooperation of Energy Regulators, security of supply, electricity supply, European cooperation, electrical energy, energy policy, energy cooperation, renewable energy","Internal market - Principles, Protocol on Ireland/Northern Ireland, Energy, Approximation of laws, Annex 4 Provisions of Union law referred to in Article 9","Industrial policy and internal market, Energy, Internal market: approximation of laws, Electricity, Other sectors for approximation of laws","2019-06-05",
"Regulation (EU) 2019/941 of the European Parliament and of the Council of 5 June 2019 on risk-preparedness in the electricity sector and repealing Directive 2005/89/EC (Text with EEA relevance.)","PE/73/2018/REV/1","32019R0941","electricity supply, electrical energy, energy grid, security of supply, approximation of laws, energy crisis, energy cooperation","Energy, Approximation of laws","Industrial policy and internal market, Energy, Internal market: approximation of laws, Electricity, Other sectors for approximation of laws","2019-06-05",
"Regulation (EU) 2019/942 of the European Parliament and of the Council of 5 June 2019 establishing a European Union Agency for the Cooperation of Energy Regulators (recast) (Text with EEA relevance.)","PE/83/2018/REV/1","32019R0942","European Union Agency for the Cooperation of Energy Regulators, energy cooperation, operation of the Institutions","Protocol on Ireland/Northern Ireland, Energy, Provisions governing the Institutions, Annex 4 Provisions of Union law referred to in Article 9","Energy, General, financial and institutional matters, General principles and programmes, Provisions governing the institutions","2019-06-05",
"Regulation (EU) 2018/1999 of the European Parliament and of the Council of 11 December 2018 on the Governance of the Energy Union and Climate Action, amending Regulations (EC) No 663/2009 and (EC) No 715/2009 of the European Parliament and of the Council, Directives 94/22/EC, 98/70/EC, 2009/31/EC, 2009/73/EC, 2010/31/EU, 2012/27/EU and 2013/30/EU of the European Parliament and of the Council, Council Directives 2009/119/EC and (EU) 2015/652 and repealing Regulation (EU) No 525/2013 of the European Parliament and of the Council (Text with EEA relevance.)","PE/55/2018/REV/1","32018R1999","energy research, greenhouse gas, reduction of gas emissions, single market, energy diversification, adaptation to climate change, energy cooperation, renewable energy, EU energy policy, energy efficiency","Environment, Energy","Energy, General principles and programmes","2018-12-11",
"Regulation (EU) 2017/1938 of the European Parliament and of the Council of 25 October 2017 concerning measures to safeguard the security of gas supply and repealing Regulation (EU) No 994/2010 (Text with EEA relevance. )","","32017R1938","self-sufficiency in energy, action programme, EU Member State, energy efficiency, gas pipeline, gas industry, gas supply, third country, gas, security of supply","Energy","Energy, Oil and gas, Supplies and stocks","2017-10-25",
"Regulation (EU) 2017/1369 of the European Parliament and of the Council of 4 July 2017 setting a framework for energy labelling and repealing Directive 2010/30/EU (Text with EEA relevance. )","","32017R1369","consumer information, energy consumption, European standard, labelling, market approval, energy saving, environmental protection, energy efficiency","Protocol on Ireland/Northern Ireland, Environment, Energy, Technical barriers, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Industrial policy and internal market, Energy, Environment, consumers and health protection, Internal market: approximation of laws, General principles and programmes, Consumers, Other sectors for approximation of laws, Rational utilisation and conservation of energy, Consumer information, education and representation","2017-07-04",
